polarismesh@polaris-java io.fabric8:fabric8-maven-core
wlhbdp@bdp-platform org.jboss.arquillian.container:arquillian-container-spi
wlhbdp@bdp-platform org.apache.maven.wagon:wagon-http-shared
mybatis@velocity-scripting org.mybatis.scripting:mybatis-velocity
wlhbdp@bdp-platform com.github.rholder:guava-retrying
swagger-api@swagger-parser io.swagger.parser.v3:swagger-parser-v2-converter
apache@james-mime4j org.apache.james:apache-mime4j-core
wlhbdp@bdp-platform org.springframework.hateoas:spring-hateoas
wlhbdp@bdp-platform io.airlift:configuration
wlhbdp@bdp-platform org.apache.ignite:ignite-spring
codefollower@Tomcat-Research org.apache.commons:commons-digester3
codefollower@Tomcat-Research com.sun.grizzly:grizzly-http
codefollower@Tomcat-Research commons-modeler:commons-modeler
codefollower@Tomcat-Research commons-codec:commons-codec
wlhbdp@bdp-platform io.vertx:vertx-jdbc-client
majianzheng@jarboot com.stormpath.sdk:stormpath-sdk-api
javaee@servlet-spec org.mortbay.jetty:servlet-api-2.5
wlhbdp@bdp-platform io.airlift:units
apache@tika org.apache.pdfbox:pdfbox-tools
jakartaee@rest javax.ws.rs:javax.ws.rs-api
codefollower@Tomcat-Research org.jboss.remoting:jboss-remoting
Matrix6677@EasyRpc io.netty:netty-common
MorphiaOrg@morphia org.mongodb:mongo-java-driver
jakartaee@rest org.jboss.resteasy:jaxrs-api
swagger-api@swagger-parser io.swagger.parser.v3:swagger-parser-v3
wlhbdp@bdp-platform com.amazonaws.secretsmanager:aws-secretsmanager-jdbc
allr@purdue-fastr org.tmatesoft.sqljet:sqljet
geosdi@geo-platform org.apache.cxf.services.ws-discovery:cxf-services-ws-discovery-api
codefollower@Tomcat-Research org.glassfish.main.web:war-util
FasterXML@jackson-databind net.sf.ehcache:ehcache
wlhbdp@bdp-platform org.apache.tinkerpop:gremlin-groovy
geosdi@geo-platform org.apache.cxf.services.wsn:cxf-services-wsn-api
codefollower@Tomcat-Research org.glassfish:javax.servlet
wlhbdp@bdp-platform org.apache.rocketmq:rocketmq-common
geosdi@geo-platform org.glassfish.hk2.external:bean-validator
codefollower@Tomcat-Research org.apache.tomcat.embed:tomcat-embed-websocket
wlhbdp@bdp-platform org.apache.tinkerpop:gremlin-server
jmurty@java-xmlbuilder com.jamesmurty.utils:java-xmlbuilder
wlhbdp@bdp-platform de.flapdoodle.embed:de.flapdoodle.embed.process
wlhbdp@bdp-platform org.apache.flink:flink-streaming-java_2.11
OpenHFT@Chronicle-Map com.sun.jersey:jersey-json
antlr@antlr4 org.glassfish.hk2:hk2-core
wlhbdp@bdp-platform org.jboss.shrinkwrap:shrinkwrap-api
apache@maven-wagon org.apache.maven.wagon:wagon-http-shared
codefollower@Tomcat-Research org.apache.tiles:tiles-api
yeshodhan@android-jaxb org.jodd:jodd-core
